Координати,Вид кофа,Брой,Състояние,
42.7055009951873,23.3487795635468,1100,3,,
42.6985028768243,23.3785490660183,110,3,,
42.7051042919025,23.3487967156372,1100,2,,
42.6985186468242,23.3785571060181,240,2,,
42.703944383428,23.3485528761769,1100,2,,
42.699324346814,23.3782783360193,110,2,,
42.7034610102855,23.3484414734298,1100,2,,
42.7029974973779,23.3482999621295,1100,1,,
42.7033082151825,23.3692960366876,1100,3,,
42.7028710652651,23.3677289055766,1100,3,,
42.7016568167737,23.3742314460943,1100,3,,
42.7020848167579,23.3678674529569,1100,1,,
42.7023617076712,23.3676397474545,1100,2,,
42.7015156164466,23.3720981178991,1100,3,,
42.701516646174,23.3700920665437,1100,3,,
42.7016326385739,23.3696017430481,1100,2,,
42.7033168340963,23.3446618759629,1100,2,ДОБРО,
42.7020032067982,23.3827726959036,1100,1,,
42.7102629652386,23.3610532401324,1100,3,ДОБРО,
42.701509698322,23.3682766766893,1100,2,,
42.7034612639446,23.3439961261719,1100,1,ДОБРО,
42.7014946332028,23.3667125326901,1100,1,,
42.7042945367838,23.3863130958113,1100,1,,
42.7026756994117,23.3665231291662,1100,2,,
42.7027719992099,23.367145350528,1100,1,,
42.703484526752,23.3739980060883,1100,3,,
42.702136957876,23.3629284427574,1100,1,,
42.7056989467352,23.376609966017,1100,1,,
42.7023128090524,23.3634589755366,1100,3,,
42.7020002900912,23.3655751113955,1100,3,,
42.7017098750281,23.360428192518,1100,3,,
42.7008263799231,23.3612442990246,1100,3,,
42.7000634791279,23.3605193128862,1100,3,,
42.7005950970126,23.3640388140012,1100,3,,
42.7017015448194,23.3641626020667,1100,3,,
42.6999030628487,23.3598128454017,1100,1,ДОБРО,
42.7016092819829,23.3633570655007,1100,2,ДОБРО,
42.6985910068219,23.3781261860271,110,2,,
42.700909162252,23.3621815328164,1100,2,ДОБРО,
42.7077674672084,23.3423416771594,1100,2,,
42.703858316757,23.3768125960238,1100,1,,
42.7001879774586,23.3639766084284,1100,3,,
42.7042198967795,23.3847749858458,1100,1,,
42.7006712674396,23.3650435276581,1100,3,,
42.7043944367794,23.3853540958319,1100,2,,
42.700691446173,23.3665382445511,1100,2,,
42.7021953967673,23.3741584660926,1100,2,,
42.7006600059729,23.3680728045094,1100,3,,
42.7026245167621,23.3740644560921,1100,2,,
42.7002706379782,23.3660836030447,1100,3,,
42.6993081347672,23.355315692625,1100,3,ДОБРО,
42.7037059118737,23.3722180114124,1100,4,,
42.7053393167741,23.3870173557894,1100,3,,
42.7018535777819,23.3714625549919,1100,3,,
42.7033354268528,23.366028369314,1100,3,,
42.7020489982875,23.3617717982054,1100,3,,
42.7020208383835,23.3621673419486,1100,1,ДОБРО,
42.7079206133683,23.3619840481149,1100,2,ДОБРО,
42.7039779593871,23.3596152674057,1100,3,ДОБРО,
42.7043570599036,23.3599693392426,1100,1,,
42.7097455790727,23.3725456886027,1100,1,ДОБРО,
42.7042005566179,23.3639307637515,1100,1,ДОБРО,
42.7049796679242,23.3617616205859,1100,2,,
42.7048809325009,23.361284353733,1100,1,ДОБРО,
42.7045735536166,23.3622323369446,1100,1,,
42.7047019028786,23.3607414973484,1100,1,ДОБРО,
42.7085403032627,23.3634014296077,1100,2,,
42.7084776335151,23.3611578420807,1100,1,ДОБРО,
42.708601237612,23.3821293926409,1100,2,,
42.7081200433357,23.3372071708125,1100,2,,
42.7083127272913,23.3385405544114,1100,2,,
42.709572849142,23.3803213685332,1100,2,,
42.7083592667561,23.3413946385315,1100,2,,
42.698198886817,23.3753240060914,110,3,,
42.7085067933561,23.3422939699475,1100,1,,
42.6975332168311,23.3772280460534,1100,1,,
42.7083607122445,23.3450605165172,1100,3,,
42.7084686137217,23.3473714697961,1100,3,ДОБРО,
42.7092817217067,23.3684901102703,1100,1,,
42.7093900920552,23.3776065995873,1100,1,,
42.7092471145778,23.3731181304289,1100,1,ДОБРО,
42.706493307114,23.3432371465257,1100,4,,
42.7096825970944,23.386132476332,1100,3,,
42.7092349402412,23.3835324567765,1100,2,,
42.7093712246305,23.3880272269264,1100,3,,
42.7091731121086,23.3862047193722,1100,2,ДОБРО,
42.7090466980777,23.3841328566806,1100,5,ДОБРО,
42.7072127752155,23.3715033665759,1100,1,,
42.7133549555863,23.3818213497832,1100,2,,
42.7083598974019,23.3513046561617,1100,4,,
42.7093779315968,23.3558375641953,1100,1,ДОБРО,
42.7084438218826,23.3539458850125,1100,2,,
42.708614789057,23.3599884172153,1100,2,,
42.7087069336116,23.3584887870668,1100,2,ДОБРО,
42.7077460755296,23.3699529001894,1100,2,ДОБРО,
42.708716613334,23.356935604451,1100,2,ДОБРО,
42.708344367824,23.3495902628383,1100,2,,
